UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AC;ACRELANDIA;8065;1832;0;453;41;904;79;0;5;13;3963;512;49;0;113;71;0;2;0;0;1;27
AC;ASSIS BRASIL;2352;415;0;31;0;205;29;0;4;3;1473;146;4;0;31;3;0;0;0;0;0;8
AC;BRASILEIA;13337;2965;0;361;398;1881;143;0;9;16;5605;1103;22;0;217;561;0;0;0;0;3;53
AC;BUJARI;3016;796;0;156;52;369;22;0;9;6;1378;100;17;0;50;56;0;0;0;0;1;4
AC;CAPIXABA;3090;864;0;97;7;336;27;0;9;4;1507;158;19;0;42;16;0;0;0;0;0;4
AC;CRUZEIRO DO SUL;42949;8615;0;801;158;4000;432;1;43;62;19345;8790;87;0;106;315;0;1;0;0;9;184
AC;EPITACIOLANDIA;8451;2321;0;317;110;1264;128;0;7;11;3065;865;18;0;143;178;0;0;0;0;3;21
AC;FEIJO;5358;778;0;120;7;419;46;0;60;4;2954;878;10;0;34;13;0;1;0;0;20;14
AC;JORDAO;227;20;0;6;0;30;2;0;0;0;121;46;1;0;1;0;0;0;0;0;0;0
AC;MANCIO LIMA;4677;820;0;105;4;386;34;0;2;4;2598;686;18;0;3;7;0;0;0;0;0;10
AC;MANOEL URBANO;1657;285;0;60;1;204;12;0;3;1;854;192;5;0;34;3;0;0;0;0;0;3
AC;MARECHAL THAUMATURGO;532;15;0;14;0;42;1;0;0;0;373;76;9;0;0;0;0;0;0;0;1;1
AC;PLACIDO DE CASTRO;5976;1625;0;156;14;624;61;0;10;8;2760;528;31;0;104;29;3;1;0;0;6;16
AC;PORTO ACRE;4920;1075;0;181;6;576;51;0;10;4;2711;198;44;0;47;9;0;2;0;0;0;6
AC;PORTO WALTER;528;16;0;12;0;54;0;0;1;0;350;88;6;0;0;0;0;0;0;0;0;1
AC;RIO BRANCO;219789;76664;0;4693;666;20134;4119;8;815;382;85945;18173;1001;0;4199;1121;55;47;0;3;138;1626
AC;RODRIGUES ALVES;2307;280;0;33;1;160;11;0;2;2;1372;428;11;0;1;0;0;0;0;0;0;6
AC;SANTA ROSA DO PURUS;273;19;0;7;0;29;0;0;1;0;181;29;3;0;4;0;0;0;0;0;0;0
AC;SENA MADUREIRA;11671;1935;0;144;15;1185;85;0;36;7;5894;2177;11;0;103;30;0;1;0;0;2;46
AC;SENADOR GUIOMARD;8551;2660;0;357;71;900;87;0;31;14;3431;633;40;0;199;94;1;1;0;0;3;29
AC;TARAUACA;6577;777;0;171;24;517;55;0;9;18;3187;1692;18;0;35;45;0;0;0;0;8;21
AC;XAPURI;5557;924;0;101;8;528;36;1;6;5;3432;419;8;0;59;12;1;0;0;0;3;14
AL;AGUA BRANCA;5783;1355;0;167;8;620;46;0;17;103;3160;199;34;0;41;17;0;7;0;0;0;9
AL;ANADIA;3671;1336;0;63;0;206;116;0;8;35;1502;240;55;0;80;11;0;1;0;0;0;18
AL;ARAPIRACA;141514;43223;0;3498;615;8851;2727;1;1594;523;55588;18565;690;0;2880;1171;10;14;0;3;38;1523
AL;ATALAIA;9332;4595;0;265;17;377;225;0;147;59;2532;305;193;0;492;64;0;10;0;0;2;49
AL;BARRA DE SANTO ANTONIO;3316;1294;0;41;6;162;58;0;253;17;1171;123;44;0;98;29;0;0;0;0;0;20
AL;BARRA DE SAO MIGUEL;2816;1141;0;31;3;191;83;0;283;5;821;86;19;0;87;12;0;3;0;0;2;49
AL;BATALHA;5020;1533;0;180;10;354;58;0;1;51;2353;330;27;0;88;16;0;0;0;0;1;18
AL;BELEM;1506;404;0;11;0;80;24;0;3;18;864;38;10;0;45;5;0;0;0;0;0;4
AL;BELO MONTE;1057;228;0;36;2;104;8;0;1;18;615;21;8;0;7;5;0;0;0;0;0;4
AL;BOCA DA MATA;6975;2171;0;218;30;359;102;0;21;88;2875;712;114;0;192;72;0;0;0;1;3;17
AL;BRANQUINHA;1960;552;0;37;0;118;25;0;18;24;1061;46;29;0;38;11;0;0;0;0;0;1
AL;CACIMBINHAS;2806;783;0;100;0;174;32;0;7;43;1502;80;17;0;48;12;0;0;0;0;0;8
AL;CAJUEIRO;3830;1287;0;97;2;158;75;0;21;15;1704;255;57;0;123;24;0;0;0;0;1;11
AL;CAMPESTRE;831;365;0;50;6;65;37;0;0;51;179;32;12;0;25;6;0;0;0;0;1;2
AL;CAMPO ALEGRE;6863;2396;0;176;79;388;100;2;56;122;2347;635;183;0;225;124;0;2;0;0;2;26
AL;CAMPO GRANDE;3186;683;0;51;0;170;30;0;3;15;2033;146;23;0;20;4;0;0;0;0;0;8
AL;CANAPI;3814;1016;0;108;3;305;26;0;6;109;2042;101;27;0;46;10;0;3;0;0;1;11
AL;CAPELA;2658;987;0;64;6;144;59;0;34;5;1057;106;74;0;89;25;0;1;0;0;0;7
AL;CARNEIROS;1779;481;0;45;2;112;20;0;1;20;1006;33;14;0;30;9;0;0;0;0;1;5
AL;CHA PRETA;1710;390;0;35;1;139;20;0;3;16;1032;27;11;0;24;7;0;0;0;0;0;5
AL;COITE DO NOIA;3773;865;0;102;3;198;31;0;2;8;2285;202;32;0;27;8;0;0;0;0;4;6
AL;COLONIA LEOPOLDINA;2513;1009;0;125;4;193;78;0;6;43;890;72;41;0;38;5;0;0;0;0;0;9
AL;COQUEIRO SECO;1452;584;0;15;0;51;20;0;62;2;647;27;8;0;30;5;0;0;0;0;0;1
AL;CORURIPE;17755;5206;0;390;49;1260;270;0;158;95;7189;1876;303;0;651;202;0;1;0;2;1;102
AL;CRAIBAS;8301;2307;0;233;24;601;82;0;28;53;4011;740;55;0;100;41;0;0;0;0;0;26
AL;DELMIRO GOUVEIA;27318;9613;0;1226;69;2189;405;1;357;523;10398;1785;151;0;326;142;0;7;0;1;11;114
AL;DOIS RIACHOS;3777;880;0;117;10;203;60;0;1;18;2238;104;25;0;70;38;1;0;0;6;0;6
